"then you don't need seg, just send the vi as const reference",2010-12-31 23:59:26.803
You build the ability to send the email directly from the app: http://www.jondev.net/articles/Sending_Emails_without_User_Intervention_(no_Intents)_in_Android,2010-12-31 23:59:22.603
@Julian Yes the html file that was loaded in the browser,2010-12-31 23:57:54.903
"installer != **library** feature, dont be such a lazy boy!",2010-12-31 23:57:47.430
"IMO, The current accepted answer by meriton is useless. (Apologies to meriton).",2010-12-31 23:57:35.383
You should also look into jquery ui's autocomplete. It does what (I think) you're trying to accomplish with this,2010-12-31 23:56:14.570
He's suggesting you invoke a click event yourself by doing something like `$('#submitButton').click();`.,2010-12-31 23:55:49.733
"Right... You want to simulate a click... So, just like you have your listener setup with if (event.keycode == 13) $('#submit').click(); clicks on the submit button. Isnt that what you're asking?",2010-12-31 23:54:39.157
Too expensive at the moment. But thanks,2010-12-31 23:53:42.310
@Petre - Which file are you referring to. The Html file that was loaded into the browser?,2010-12-31 23:53:19.020
